iter	Passed	Remaining
0	0	69
1	1	64
2	1	61
3	2	56
4	2	55
5	3	54
6	4	53
7	4	53
8	5	52
9	5	51
10	6	51
11	6	51
12	7	50
13	8	49
14	8	49
15	9	48
16	9	48
17	10	47
18	11	46
19	11	46
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	37
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	35	26
57	35	25
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	66	0
99	66	0
