iter	Passed	Remaining
0	145	145542
1	146	73046
2	146	48837
3	147	36724
4	148	29453
5	148	24603
6	149	21137
7	149	18539
8	150	16517
9	150	14902
10	151	13581
11	151	12478
12	152	11544
13	152	10752
14	153	10068
15	153	9465
16	154	8929
17	154	8454
18	155	8029
19	156	7650
20	156	7309
21	157	6994
22	158	6711
23	158	6452
24	159	6213
25	159	5992
26	160	5783
27	160	5588
28	161	5408
29	162	5239
30	162	5085
31	163	4937
32	163	4797
33	164	4667
34	164	4544
35	165	4428
36	166	4321
37	166	4221
38	167	4124
39	168	4032
40	168	3944
41	169	3862
42	169	3781
43	170	3706
44	171	3634
45	171	3564
46	172	3496
47	173	3431
48	173	3369
49	174	3310
50	174	3253
51	175	3198
52	176	3145
53	176	3095
54	177	3046
55	177	2997
56	178	2950
57	178	2907
58	179	2863
59	180	2821
60	180	2780
61	181	2740
62	181	2702
63	182	2667
64	182	2631
65	183	2596
66	184	2562
67	184	2530
68	185	2497
69	185	2465
70	186	2435
71	186	2407
72	187	2379
73	187	2350
74	188	2323
75	188	2297
76	189	2273
77	190	2247
78	190	2223
79	191	2198
80	191	2174
81	192	2151
82	192	2126
83	193	2105
84	193	2084
85	194	2063
86	194	2043
87	195	2025
88	196	2006
89	196	1987
90	197	1968
91	197	1949
92	198	1933
93	198	1917
94	199	1900
95	200	1883
96	200	1869
97	201	1854
98	201	1837
99	202	1821
100	202	1806
101	203	1791
102	204	1778
103	204	1763
104	205	1748
105	205	1734
106	206	1721
107	207	1709
108	207	1696
109	208	1683
110	208	1670
111	209	1659
112	209	1647
113	210	1635
114	210	1622
115	211	1610
116	211	1598
117	212	1588
118	213	1577
119	213	1566
120	214	1556
121	214	1545
122	215	1535
123	215	1524
124	216	1514
125	216	1504
126	217	1493
127	217	1484
128	218	1474
129	219	1465
130	219	1457
131	220	1448
132	220	1439
133	221	1430
134	221	1421
135	222	1413
136	223	1405
137	223	1397
138	224	1388
139	224	1380
140	225	1372
141	225	1363
142	226	1356
143	226	1348
144	227	1340
145	227	1333
146	228	1325
147	228	1318
148	229	1310
149	230	1303
150	230	1296
151	231	1289
152	231	1282
153	232	1275
154	232	1270
155	233	1263
156	234	1256
157	234	1250
158	235	1243
159	235	1236
160	235	1229
161	236	1224
162	237	1217
163	237	1211
164	238	1205
165	238	1199
166	239	1194
167	239	1188
168	240	1182
169	240	1176
170	241	1171
171	242	1165
172	242	1159
173	243	1154
174	243	1148
175	244	1143
176	244	1138
177	245	1133
178	245	1128
179	246	1122
180	246	1117
181	247	1112
182	248	1107
183	248	1102
184	249	1097
185	249	1092
186	250	1087
187	250	1083
188	251	1079
189	252	1075
190	252	1070
191	253	1066
192	253	1061
193	254	1056
194	254	1052
195	255	1047
196	256	1043
197	256	1039
198	257	1035
199	257	1031
200	258	1027
201	259	1023
202	259	1019
203	260	1014
204	260	1010
205	261	1007
206	261	1002
207	262	998
208	262	995
209	263	991
210	264	987
211	264	983
212	265	979
213	265	976
214	266	972
215	266	968
216	267	965
217	268	961
218	268	957
219	269	954
220	269	950
221	270	947
222	270	944
223	271	940
224	271	936
225	272	933
226	273	930
227	273	926
228	274	923
229	274	919
230	275	917
231	276	913
232	276	910
233	277	907
234	277	904
235	278	901
236	278	898
237	279	894
238	280	891
239	280	888
240	281	885
241	281	882
242	282	879
243	282	876
244	283	874
245	284	870
246	284	867
247	285	864
248	285	861
249	286	858
250	286	855
251	287	852
252	287	849
253	288	847
254	289	844
255	289	841
256	290	839
257	290	836
258	291	834
259	292	831
260	292	828
261	293	825
262	293	823
263	294	820
264	295	818
265	295	815
266	296	813
267	296	810
268	297	808
269	298	805
270	298	803
271	299	800
272	299	798
273	300	795
274	300	793
275	301	791
276	302	788
277	302	786
278	303	783
279	303	781
280	304	778
281	304	776
282	305	773
283	305	771
284	306	768
285	307	766
286	307	764
287	308	762
288	308	759
289	309	757
290	309	755
291	310	752
292	311	750
293	311	748
294	312	746
295	312	743
296	313	741
297	313	739
298	314	737
299	315	735
300	315	733
301	316	730
302	316	729
303	317	726
304	318	725
305	318	722
306	319	720
307	320	719
308	320	717
309	321	715
310	321	712
311	322	710
312	322	708
313	323	706
314	324	704
315	324	702
316	325	701
317	326	699
318	326	697
319	327	696
320	328	694
321	328	692
322	329	690
323	329	688
324	330	686
325	331	684
326	331	683
327	332	681
328	333	680
329	334	678
